id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
122;804;Roman Holiday;['Romance', 'Comedy', 'Drama'];24;1953;119;['Audrey Hepburn', 'Gregory Peck', 'Eddie Albert'];[];[252746, 578209, 11541]
137;13475;Star Trek;['Science Fiction', 'Action', 'Adventure'];38;2009;127;['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy'];[];[1077257, 6436, 9016]
28;289;Casablanca;['Drama', 'Romance'];34;1943;102;['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid'];[];[8996, 9008, 411132]
54;489;Good Will Hunting;['Drama'];72;1997;127;['Matt Damon', 'Robin Williams', 'Ben Affleck'];[];[6396, 6418, 8923]
97;6977;No Country for Old Men;['Crime', 'Drama', 'Thriller'];58;2007;122;['Javier Bardem', 'Tommy Lee Jones', 'Josh Brolin'];[];[11536, 11542, 11549]
155;1955;The Elephant Man;['Drama', 'History'];44;1980;124;['Anthony Hopkins', 'John Hurt', 'Anne Bancroft'];[];[263373, 588909, 22638]
104;5924;Papillon;['Crime', 'Drama'];22;1973;151;['Steve McQueen', 'Dustin Hoffman', 'Victor Jory'];[];[6511, 6522, 6535]
154;1422;The Departed;['Drama', 'Thriller', 'Crime'];47;2006;151;['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson'];[];[263336, 263339, 22600]
139;845;Strangers on a Train;['Crime', 'Thriller'];16;1951;101;['Farley Granger', 'Ruth Roman', 'Robert Walker'];[];[263393, 929183, 22657]
13;55;Amores perros;['Drama', 'Thriller'];20;2000;154;['Emilio Echevarría', 'Gael García Bernal', 'Vanessa Bauche'];[];[8927, 8938, 8942]
44;5961;Fanny och Alexander;['Fantasy', 'Drama', 'Mystery'];14;1982;188;['Pernilla Allwin', 'Bertil Guve', 'Jan Malmsjö'];[];[263393, 427796, 22681]
36;17654;District 9;['Science Fiction'];34;2009;112;['Sharlto Copley', 'Jason Cope', 'Nathalie Boltt'];[];[11535, 11542, 11549]
102;311;Once Upon a Time in America;['Drama', 'Crime'];33;1984;229;['Robert De Niro', 'James Woods', 'Elizabeth McGovern'];[];[565194, 898014, 234460]
120;500;Reservoir Dogs;['Crime', 'Thriller'];36;1992;99;['Harvey Keitel', 'Tim Roth', 'Michael Madsen'];[];[572468, 409412, 8982]
129;11324;Shutter Island;['Drama', 'Thriller', 'Mystery'];87;2010;138;['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley'];[];[263341, 263370, 263371]
119;641;Requiem for a Dream;['Crime', 'Drama'];24;2000;102;['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly'];[];[11534, 11554, 11556]
138;1892;Return of the Jedi;['Adventure', 'Action', 'Science Fiction'];42;1983;132;['Mark Hamill', 'Harrison Ford', 'Carrie Fisher'];[];[6479, 8987, 9659]
